Name,Parent Name,UEI,Company Hash,Similarity Score
Blue Halo,,,,0.0
Blue Origin,"BLUE ORIGIN, LLC",SR7UCNN6CBN5,1fff0e23-bea1-bf96-f205-e8a0225d4d59-P,0.2222222222222222
"Blue Skies Space, Ltd.",,,,0.0
Blue Sky Analytics,,,,0.0
BlueCosmo Satellite Communications (Fonebill LLC),DAVE'S SATELLITE & COMMUNICATIONS,H498PFHYT1L1,784f7f28-dedf-0b2e-79e7-e4e08ff1e0df-P,0.12195121951219512
Blushift Aerospace,BLUSHIFT AEROSPACE INC,KMH8W6638D73,2638d40d-525a-38d0-6d09-f59cda1005e6-P,0.15
Boecore,"BOECORE, LLC",MJKMLGUTMMJ1,b671251f-2bf4-76a2-4ea6-c4afd756aed6-P,0.10526315789473684
Boeing,THE BOEING COMPANY,M6BRZ1FHEZQ1,df8638e3-b642-fae8-6730-21c1ec716038-C,0.08333333333333333
Boomitra,,,,0.0
Booz Allen Hamilton,BOOZ ALLEN HAMILTON INC,EJKTQ884VTM3,de329b4d-a842-ce5f-d64d-ced98e6cd28e-C,0.23809523809523808
Boreal Space,,,,0.0
Bountiful,,,,0.0
Bradford Space,"BRADFORD SPACE, INC.",NQ8LTW9SHQ24,d4684d2a-eb96-37cd-0fe2-6869be444ac7-P,0.17647058823529413
Bridgecomm,,,,0.0
Bright Ascension,ASCENSION SETON,YD52PH59F4G3,e7e88775-bcb5-07f2-9311-ab05017c1a34-C,0.06451612903225806
Broadcast Satellite System Corporation (BSAT),PARA-TECH SATELLITE SYSTEM,C138UU47J7E6,c2dc3e40-bc4d-d522-65a4-4af4d74edd41-P,0.11267605633802817
Broadpeak,,,,0.0
BT Group,BT GROUP PLC,JBMHLHY8B5J5,4d26139e-b711-29ca-511e-39233add0eda-P,0.4
"Build Beyond, LLC","BUILD BEYOND, LLC",X8P2KWLMGMX8,bd6743b1-0183-1d12-f08c-e8ed63f01880-P,0.47058823529411764
Bulsatcom,,,,0.0
